[ 4222.008846] [dhd] sdioh_buffer_tofrom_bus: RX FAILED 166049df, addr=0x08000, pkt_len=128, ERR=-84
[ 4222.016304] [dhd] dhdsdio_readframes: read 128 data bytes failed: -35
[ 4222.022914] [dhd] dhdsdio_rxfail: abort command, terminate frame
^C[ 4375.390265] stm32-dcmi 4c006000.dcmi: Some errors found while streaming: errors=1795 (overrun=1798), buffers=18615

root@lubancat:~# cp /mnt/nfs/endoscope /tmp/
root@lubancat:~# kill $(pidof App) 2>/dev/null
root@lubancat:~# /tmp/endoscope -platform linuxfb 2>&1 | grep "\[pipe\]"
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 27 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 21 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 1 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 1 ms
[pipe] scaled: 26 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 29 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 2 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 15 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 7 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 34 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 22 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 2 ms
[pipe] scaled: 36 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 34 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 26 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 16 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 34 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 1 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 11 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 30 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 9 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 26 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 15 ms
[pipe] scaled: 34 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 26 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 27 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 7 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 1 ms
[pipe] scaled: 19 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 10 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 8 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 18 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 15 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 2 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 37 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 30 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 4 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 36 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 36 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 8 ms
[pipe] scaled: 27 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 12 ms
[pipe] scaled: 26 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 16 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 6 ms
[pipe] scaled: 29 ms
[pipe] processFrame: 0 ms
[pipe] frameBuffer: 5 ms
[pipe] scaled: 17 ms
[pipe] processFrame: 0 ms
